time,tavg,tmin,tmax,prcp,season
01-01-1990,9.4,6.0,15.1,0.0,winter
02-01-1990,9.3,5.2,14.2,0.0,winter
03-01-1990,9.0,6.5,13.6,0.0,winter
04-01-1990,10.7,6.0,17.5,0.0,winter
05-01-1990,12.6,7.3,20.8,0.0,winter
06-01-1990,14.9,8.1,22.9,0.0,winter
07-01-1990,14.4,8.1,21.4,0.0,winter
08-01-1990,10.7,8.5,16.6,0.0,winter
09-01-1990,13.4,7.0,20.6,0.0,winter
10-01-1990,16.6,,22.8,0.0,winter
11-01-1990,17.0,10.9,25.3,0.0,winter
12-01-1990,17.7,9.8,,0.0,winter
13-01-1990,17.2,8.8,27.7,0.0,winter
14-01-1990,16.6,10.8,23.9,0.0,winter
15-01-1990,14.4,,23.1,0.0,winter
16-01-1990,14.8,7.3,23.9,0.0,winter
17-01-1990,17.8,10.2,26.2,0.0,winter
18-01-1990,19.4,13.1,27.6,0.0,winter
19-01-1990,19.1,12.1,25.8,0.0,winter
20-01-1990,20.0,13.8,26.6,0.0,winter
21-01-1990,18.8,12.5,27.0,0.0,winter
22-01-1990,19.6,12.2,28.0,0.0,winter
23-01-1990,17.8,12.4,,0.0,winter
24-01-1990,16.6,,25.3,0.0,winter
25-01-1990,17.7,,26.1,0.0,winter
26-01-1990,19.2,9.7,28.8,0.0,winter
27-01-1990,20.0,13.3,26.1,0.0,winter
28-01-1990,18.4,,25.6,0.0,winter
29-01-1990,15.2,9.5,21.7,0.0,winter
30-01-1990,15.5,10.1,22.1,0.0,winter
31-01-1990,17.1,9.3,25.2,0.0,winter
01-02-1990,17.9,,24.3,0.0,winter
02-02-1990,13.2,,21.2,0.0,winter
03-02-1990,14.5,7.3,21.5,0.0,winter
04-02-1990,15.8,8.8,23.7,0.0,winter
05-02-1990,15.8,8.8,,0.0,winter
06-02-1990,14.7,9.7,,0.0,winter
07-02-1990,18.4,12.8,25.1,0.0,winter
08-02-1990,19.7,,24.7,,winter
09-02-1990,20.3,14.1,26.5,0.5,winter
10-02-1990,18.7,14.0,26.9,0.0,winter
11-02-1990,18.2,11.5,23.1,0.0,winter
12-02-1990,17.1,15.0,21.1,0.0,winter
13-02-1990,16.2,,18.9,,winter
14-02-1990,14.3,,19.3,0.0,winter
15-02-1990,14.6,9.5,20.9,0.0,winter
16-02-1990,14.6,8.8,21.7,0.0,winter
17-02-1990,15.9,8.4,21.9,,winter
18-02-1990,13.9,12.1,16.8,45.0,winter
19-02-1990,15.1,13.1,19.5,1.8,winter
20-02-1990,15.7,10.5,22.1,0.0,winter
21-02-1990,17.1,11.4,23.6,0.0,winter
22-02-1990,16.7,10.9,24.0,0.0,winter
23-02-1990,18.8,,25.6,,winter
24-02-1990,15.4,,17.8,1.3,winter
25-02-1990,16.0,12.7,21.0,0.8,winter
26-02-1990,17.5,12.1,23.0,1.0,winter
27-02-1990,16.3,13.4,20.6,6.9,winter
28-02-1990,14.6,,18.9,43.9,winter
01-03-1990,14.9,8.3,22.1,0.0,spring
02-03-1990,14.8,8.7,20.9,0.0,spring
03-03-1990,15.5,9.4,22.6,0.0,spring
04-03-1990,16.7,8.8,24.2,0.0,spring
05-03-1990,17.3,9.3,25.1,0.0,spring
06-03-1990,17.6,10.7,24.6,0.0,spring
07-03-1990,17.3,11.0,25.9,0.0,spring
08-03-1990,19.7,,27.9,0.0,spring
09-03-1990,21.2,11.6,30.3,0.0,spring
10-03-1990,21.8,15.0,,0.0,spring
11-03-1990,21.3,,26.7,,spring
12-03-1990,21.4,13.6,27.3,0.0,spring
13-03-1990,20.2,13.9,27.3,0.0,spring
14-03-1990,21.8,13.6,28.8,0.0,spring
15-03-1990,23.6,16.9,29.5,0.0,spring
16-03-1990,24.8,18.4,31.3,0.0,spring
17-03-1990,24.3,18.9,31.3,0.0,spring
18-03-1990,26.3,20.2,31.9,0.0,spring
19-03-1990,26.4,20.0,32.9,0.0,spring
20-03-1990,26.2,21.1,32.4,0.0,spring
21-03-1990,25.7,20.6,30.6,0.0,spring
22-03-1990,24.8,,31.0,0.0,spring
23-03-1990,20.6,,25.6,0.0,spring
24-03-1990,19.7,12.8,26.1,0.0,spring
25-03-1990,20.9,11.1,27.3,0.0,spring
26-03-1990,22.2,13.6,27.0,0.0,spring
27-03-1990,19.6,,22.5,0.3,spring
28-03-1990,16.6,,,2.5,spring
29-03-1990,21.1,10.4,27.9,0.8,spring
30-03-1990,22.9,16.4,29.8,0.0,spring
31-03-1990,20.8,14.8,27.9,0.0,spring
01-04-1990,20.9,,28.2,0.0,spring
02-04-1990,20.6,14.6,,0.0,spring
03-04-1990,22.3,15.7,29.8,0.0,spring
04-04-1990,23.3,13.5,30.9,0.0,spring
05-04-1990,25.2,16.1,32.2,0.0,spring
06-04-1990,25.2,19.9,29.8,,spring
07-04-1990,26.4,19.0,33.0,0.0,spring
08-04-1990,27.8,18.8,33.3,0.3,spring
09-04-1990,26.5,19.8,33.6,0.0,spring
10-04-1990,26.4,19.3,,0.0,spring
11-04-1990,29.7,,38.7,0.0,spring
12-04-1990,29.5,22.1,36.9,0.0,spring
13-04-1990,24.6,20.4,32.9,0.3,spring
14-04-1990,27.2,19.3,33.0,0.0,spring
15-04-1990,29.3,,36.0,0.0,spring
16-04-1990,28.7,21.8,37.1,0.0,spring
17-04-1990,31.1,21.7,39.8,0.0,spring
18-04-1990,31.3,24.0,39.0,0.0,spring
19-04-1990,31.7,24.6,,0.0,spring
20-04-1990,32.4,22.6,38.3,0.0,spring
21-04-1990,31.1,21.8,39.7,0.0,spring
22-04-1990,30.0,23.7,39.8,,spring
23-04-1990,31.6,22.6,39.1,0.0,spring
24-04-1990,33.1,26.3,40.1,0.0,spring
25-04-1990,32.2,24.2,40.9,0.0,spring
26-04-1990,34.4,24.7,42.0,0.0,spring
27-04-1990,30.6,,36.8,0.0,spring
28-04-1990,29.4,,36.6,0.0,spring
29-04-1990,30.1,21.3,36.6,0.0,spring
30-04-1990,30.8,23.6,37.8,0.0,spring
01-05-1990,29.8,25.0,36.0,,spring
02-05-1990,24.9,,28.6,0.3,spring
03-05-1990,28.1,20.6,34.9,1.0,spring
04-05-1990,28.8,22.3,34.4,1.0,spring
05-05-1990,22.2,17.9,26.2,36.6,spring
06-05-1990,26.2,19.8,32.9,0.0,spring
07-05-1990,27.8,22.2,34.0,0.0,spring
08-05-1990,30.6,23.6,36.4,0.0,spring
09-05-1990,32.2,25.6,38.0,0.0,spring
10-05-1990,32.9,26.9,38.0,0.0,spring
11-05-1990,29.7,,38.0,0.0,spring
12-05-1990,30.2,,36.8,,spring
13-05-1990,31.1,,35.4,0.0,spring
