arrival_time,start_time,finish_time,wait_time,queue_length
30-03-2023 0.10,30-03-2023 0.10,2023-03-30 00:22:44.800000000,12.68,28
30-03-2023 0.10,30-03-2023 0.16,2023-03-30 00:25:53.200000000,9.82,28
30-03-2023 0.10,30-03-2023 0.16,2023-03-30 00:25:48.400000000,9.74,28
30-03-2023 0.10,30-03-2023 0.14,2023-03-30 00:27:23.200000000,13.32,28
30-03-2023 0.10,30-03-2023 0.15,2023-03-30 00:31:21.400000000,16.29,28
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:35:37.600000000,15.56,28
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:31:56.199999999,11.87,28
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:30:07.600000000,13.06,28
30-03-2023 0.10,30-03-2023 0.12,2023-03-30 00:25:37.600000000,13.56,28
30-03-2023 0.10,30-03-2023 0.18,2023-03-30 00:22:31.000000000,4.45,28
30-03-2023 0.10,30-03-2023 0.14,2023-03-30 00:21:20.800000000,7.28,28
30-03-2023 0.10,30-03-2023 0.19,2023-03-30 00:25:33.400000000,6.49,28
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:20:24.400000000,0.34,28
30-03-2023 0.10,30-03-2023 0.10,2023-03-30 00:25:58.600000000,15.91,28
30-03-2023 0.10,30-03-2023 0.14,2023-03-30 00:22:28.000000000,8.4,28
30-03-2023 0.10,30-03-2023 0.10,2023-03-30 00:21:54.400000000,11.84,28
30-03-2023 0.10,30-03-2023 0.16,2023-03-30 00:33:38.200000000,17.57,28
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:26:48.400000000,9.74,28
30-03-2023 0.10,30-03-2023 0.12,2023-03-30 00:31:58.600000000,19.91,28
30-03-2023 0.10,30-03-2023 0.13,2023-03-30 00:25:48.400000000,12.74,28
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:32:24.400000000,12.34,28
30-03-2023 0.10,30-03-2023 0.11,2023-03-30 00:24:20.199999999,13.27,28
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:29:49.600000000,12.76,28
30-03-2023 0.10,30-03-2023 0.19,2023-03-30 00:30:52.600000000,11.81,28
30-03-2023 0.10,30-03-2023 0.11,2023-03-30 00:19:27.400000000,8.39,28
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:24:37.599999999,7.56,28
30-03-2023 0.10,30-03-2023 0.18,2023-03-30 00:22:35.800000000,4.53,28
30-03-2023 0.10,30-03-2023 0.11,2023-03-30 00:20:01.000000000,8.95,28
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:21:26.200000000,22.82,27
30-03-2023 1.58,30-03-2023 2.04,2023-03-30 02:16:49.000000000,12.2,27
30-03-2023 1.58,30-03-2023 2.00,2023-03-30 02:05:36.400000000,4.99,27
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:11:40.000000000,13.05,27
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:13:08.800000000,6.53,27
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:20:21.400000000,12.74,27
30-03-2023 1.58,30-03-2023 2.08,2023-03-30 02:17:07.000000000,8.5,27
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:07:43.000000000,9.1,27
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:11:52.600000000,4.26,27
30-03-2023 1.58,30-03-2023 2.00,2023-03-30 02:07:01.000000000,6.4,27
30-03-2023 1.58,30-03-2023 1.59,2023-03-30 02:00:30.400000000,0.89,27
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:06:31.600000000,7.91,27
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:30:37.600000000,24.01,27
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:17:03.400000000,18.44,27
30-03-2023 1.58,30-03-2023 2.02,2023-03-30 02:14:51.400000000,12.24,27
30-03-2023 1.58,30-03-2023 2.08,2023-03-30 02:22:04.600000000,13.46,27
30-03-2023 1.58,30-03-2023 2.01,2023-03-30 02:16:49.600000000,15.21,27
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:24:08.800000000,17.53,27
30-03-2023 1.58,30-03-2023 2.01,2023-03-30 02:09:23.800000000,7.78,27
30-03-2023 1.58,30-03-2023 2.05,2023-03-30 02:17:34.000000000,11.95,27
30-03-2023 1.58,30-03-2023 2.08,2023-03-30 02:15:40.599999999,7.06,27
30-03-2023 1.58,30-03-2023 1.59,2023-03-30 02:07:57.400000000,8.34,27
30-03-2023 1.58,30-03-2023 2.05,2023-03-30 02:09:41.800000000,4.08,27
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:19:40.600000000,13.06,27
30-03-2023 1.58,30-03-2023 1.59,2023-03-30 02:13:24.400000000,13.79,27
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:16:05.200000000,8.47,27
30-03-2023 1.58,30-03-2023 2.05,2023-03-30 02:20:43.599999999,15.11,27
30-03-2023 2.36,30-03-2023 2.36,2023-03-30 02:47:44.400000000,11.59,17
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:46:10.799999999,8.03,17
30-03-2023 2.36,30-03-2023 2.42,2023-03-30 02:50:25.799999999,8.28,17
30-03-2023 2.36,30-03-2023 2.41,2023-03-30 02:44:05.400000000,2.94,17
30-03-2023 2.36,30-03-2023 2.39,2023-03-30 02:46:37.800000000,7.48,17
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:43:47.400000000,5.64,17
30-03-2023 2.36,30-03-2023 2.41,2023-03-30 02:48:39.000000000,7.5,17
30-03-2023 2.36,30-03-2023 2.39,2023-03-30 02:57:00.599999999,17.86,17
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:44:37.200000000,6.47,17
30-03-2023 2.36,30-03-2023 2.41,2023-03-30 02:42:41.400000000,1.54,17
30-03-2023 2.36,30-03-2023 2.43,2023-03-30 02:48:47.400000000,5.64,17
30-03-2023 2.36,30-03-2023 2.45,2023-03-30 02:52:37.800000000,7.48,17
30-03-2023 2.36,30-03-2023 2.45,2023-03-30 03:01:06.600000000,15.96,17
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:59:18.600000000,21.16,17
30-03-2023 2.36,30-03-2023 2.44,2023-03-30 02:54:02.400000000,9.89,17
30-03-2023 2.36,30-03-2023 2.36,2023-03-30 02:41:40.800000000,5.53,17
30-03-2023 2.36,30-03-2023 2.39,2023-03-30 02:53:52.200000000,14.72,17
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:06:43.800000000,4.48,45
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:27:51.599999999,17.61,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:13:09.600000000,10.91,45
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:16:45.599999999,8.51,45
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:24:37.800000000,16.38,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:22:00.600000000,18.76,45
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:22:54.000000000,14.65,45
